Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-3.5-turbo,gpt-4-turbo,ChatGPT-4 GC
1.2.0,sklearn.linear_model.LogisticRegression,P,,"Rename the fitted attribute base_estimator_ to estimator_ in the following classes: ensemble.BaggingClassifier, ensemble.BaggingRegressor, ensemble.AdaBoostClassifier, ensemble.AdaBoostRegressor, ensemble.RandomForestClassifier, ensemble.RandomForestRegressor, ensemble.ExtraTreesClassifier, ensemble.ExtraTreesRegressor, ensemble.RandomTreesEmbedding, ensemble.IsolationForest. base_estimator_ is deprecated in 1.2 and will be removed in 1.4.",#23819,"Logistic Regression (aka logit, MaxEnt) classifier.",https://scikit-learn.org/stable/whats_new/v1.2.html#id9,,,,
1.2.0,sklearn.linear_model.LogisticRegression,P,,"String option ""none"" is deprecated for penalty argument in linear_model.LogisticRegression, and will be removed in version 1.4. Use None instead. ",#23877,"Logistic Regression (aka logit, MaxEnt) classifier.",https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html#sklearn.linear_model.LogisticRegression,,,,9/10
1.2.0,metrics.class_likelihood_ratios,A,,metrics.class_likelihood_ratios is added to compute the positive and negative likelihood ratios derived from the confusion matrix of a binary classification problem.,#22518,Compute binary classification positive and negative likelihood ratios.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.class_likelihood_ratios.html#sklearn.metrics.class_likelihood_ratios,,,,
1.2.0,metrics.pairwise.manhattan_distances ,P,,The parameter sum_over_features of metrics.pairwise.manhattan_distances is deprecated and will be removed in 1.4.,#24630,Compute the L1 distances between the vectors in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.manhattan_distances.html#sklearn.metrics.pairwise.manhattan_distances,,,,0/10
1.2.0, preprocessing.OneHotEncoder ,P,,The sparse parameter of preprocessing.OneHotEncoder is now deprecated and will be removed in version 1.4. Use sparse_output instead.,#24412,Encode categorical features as a one-hot numeric array.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.OneHotEncoder.html#sklearn.preprocessing.OneHotEncoder,,,,8/10
1.3.0,sklearn.utils.extmath.density,P,,"The extra keyword parameters of utils.extmath.density are deprecated and will be removed in 1.4. #24523 by Mia Bajic.
",#24523,Compute density of a sparse vector.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.density.html#sklearn.utils.extmath.density,,,,0/10
1.3.0,sklearn.cluster.HDBSCAN,A,,"Added cluster.HDBSCAN, a modern hierarchical density-based clustering algorithm. Similarly to cluster.OPTICS, it can be seen as a generalization of cluster.DBSCAN by allowing for hierarchical instead of flat clustering, however it varies in its approach from cluster.OPTICS. This algorithm is very robust with respect to its hyperparameters’ values and can be used on a wide variety of data without much, if any, tuning.

This implementation is an adaptation from the original implementation of HDBSCAN in scikit-learn-contrib/hdbscan, by Leland McInnes et al.",#26385,Cluster data using hierarchical density-based clustering.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.HDBSCAN.html#sklearn.cluster.HDBSCAN,,,,
1.3.0,cluster.KMeans.predict ,P,,The sample_weight parameter in predict for cluster.KMeans.predict and cluster.MiniBatchKMeans.predict is now deprecated and will be removed in v1.5.,#25251,Predict the closest cluster each sample in X belongs to.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html#sklearn.cluster.KMeans.predict,,,,0/10
1.3.0,cluster.MiniBatchKMeans.predict,P,,The sample_weight parameter in predict for cluster.KMeans.predict and cluster.MiniBatchKMeans.predict is now deprecated and will be removed in v1.5.,#25251,Predict the closest cluster each sample in X belongs to.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.MiniBatchKMeans.html#sklearn.cluster.MiniBatchKMeans.predict,,,,1/10
1.3.0,cluster.FeatureAgglomeration.inverse_transform,P,,The Xred argument in cluster.FeatureAgglomeration.inverse_transform is renamed to Xt and will be removed in v1.5.,#26503,Inverse the transformation and return a vector of size n_features.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.FeatureAgglomeration.html#sklearn.cluster.FeatureAgglomeration.inverse_transform,,,,0/10
1.3.0,sklearn.covariance.GraphicalLasso,P,,Adds covariance parameter in covariance.GraphicalLasso.,#26033,Sparse inverse covariance estimation with an l1-penalized estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLasso.html#sklearn.covariance.GraphicalLasso,,,,9/10
1.3.0, covariance.GraphicalLasso,P,,"Adds eps parameter in covariance.GraphicalLasso, covariance.graphical_lasso, and covariance.GraphicalLassoCV. ",#26033,Sparse inverse covariance estimation with an l1-penalized estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLasso.html#sklearn.covariance.GraphicalLasso,,,,
1.3.0,covariance.graphical_lasso,P,,"Adds eps parameter in covariance.GraphicalLasso, covariance.graphical_lasso, and covariance.GraphicalLassoCV. ",#26033,L1-penalized covariance estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.graphical_lasso.html#sklearn.covariance.graphical_lasso,,,,
1.3.0,covariance.GraphicalLassoCV,P,,"Adds eps parameter in covariance.GraphicalLasso, covariance.graphical_lasso, and covariance.GraphicalLassoCV. ",#26033,Sparse inverse covariance w/ cross-validated choice of the l1 penalty.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html#sklearn.covariance.GraphicalLassoCV,,,,
1.3.0,datasets.make_sparse_coded_signal,P,, The data_transposed argument of datasets.make_sparse_coded_signal is deprecated and will be removed in v1.5.,#25784,"Generate a signal as a sparse combination of dictionary elements.

Returns a matrix Y = DX, such that D is of shape (n_features, n_components), X is of shape (n_components, n_samples) and each column of X has exactly n_nonzero_coefs non-zero elements.",https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_sparse_coded_signal.html#sklearn.datasets.make_sparse_coded_signal,,,,
1.3.0,decomposition.NMF.inverse_transform,P,,The W argument in decomposition.NMF.inverse_transform and decomposition.MiniBatchNMF.inverse_transform is renamed to Xt and will be removed in v1.5. ,#26503,Transform data back to its original space.,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.NMF.html#sklearn.decomposition.NMF.inverse_transform,,,,0/10
1.3.0,decomposition.MiniBatchNMF.inverse_transform,P,,The W argument in decomposition.NMF.inverse_transform and decomposition.MiniBatchNMF.inverse_transform is renamed to Xt and will be removed in v1.5. ,#26503,,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.MiniBatchNMF.html#sklearn.decomposition.MiniBatchNMF.inverse_transform,,,,
1.3.0,sklearn.inspection.partial_dependence,R,,inspection.partial_dependence returns a utils.Bunch with new key: grid_values. The values key is deprecated in favor of grid_values and the values key will be removed in 1.5.,#21809,"Partial dependence of features.

Partial dependence of a feature (or a set of features) corresponds to the average response of an estimator for each possible value of the feature.",https://scikit-learn.org/stable/modules/generated/sklearn.inspection.partial_dependence.html#sklearn.inspection.partial_dependence,,,,0/10
1.3.0,linear_model.BayesianRidge,P,,Deprecates n_iter in favor of max_iter in linear_model.BayesianRidge and linear_model.ARDRegression. n_iter will be removed in scikit-learn 1.5. This change makes those estimators consistent with the rest of estimators.,#25697,"Bayesian ridge regression.

Fit a Bayesian ridge model. See the Notes section for details on this implementation and the optimization of the regularization parameters lambda (precision of the weights) and alpha (precision of the noise).",https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.BayesianRidge.html#sklearn.linear_model.BayesianRidge,,,,10/10
1.3.0,linear_model.ARDRegression.,P,,Deprecates n_iter in favor of max_iter in linear_model.BayesianRidge and linear_model.ARDRegression. n_iter will be removed in scikit-learn 1.5. This change makes those estimators consistent with the rest of estimators.,#25697,"Bayesian ARD regression.

Fit the weights of a regression model, using an ARD prior. The weights of the regression model are assumed to be in Gaussian distributions. Also estimate the parameters lambda (precisions of the distributions of the weights) and alpha (precision of the distribution of the noise). The estimation is done by an iterative procedures (Evidence Maximization)",https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.ARDRegression.html#sklearn.linear_model.ARDRegression,,,,4/10
1.3.0,model_selection.LearningCurveDisplay ,P,,The parameter log_scale in the class model_selection.LearningCurveDisplay has been deprecated in 1.3 and will be removed in 1.5. The default scale can be overriden by setting it directly on the ax object and will be set automatically from the spacing of the data points otherwise.,#25120,Learning Curve visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LearningCurveDisplay.html#sklearn.model_selection.LearningCurveDisplay,,,,0/10
